name,acc,f1,auc
GCN,0.6045777426992897,0.5944729695283107,0.6383059552935098
GAT,0.6195737963693765,0.5995974298452662,0.6469828437704196
GraphSAGE,0.6314127861089187,0.6167283656726812,0.6672871680317697
